,Lemmas,PoS,Sentiment
183,broken,VBN,Sad/Angry
184,know,VB,Disgust/Fear
185,profess,VB,Disgust/Fear
186,mean,VBP,Disgust/Fear
187,honor,VBD,Happy
188,honor,VB,Happy
189,delivered,VBN,Disgust/Fear
190,avenged,VBD,Disgust/Fear
191,saving,VBG,Disgust/Fear
192,commanded,VBN,Disgust/Fear
193,search,VB,Disgust/Fear
194,commended,VBN,Happy
195,searched,VBD,Disgust/Fear
196,studied,VBD,Disgust/Fear
197,reproved,VBN,Disgust/Fear
198,slow,VB,Disgust/Fear
199,believe,VB,Disgust/Fear
200,wise,VB,Happy
201,ignorant,VBN,Sad/Angry
202,instruct,VB,Disgust/Fear
203,quicken,VB,Disgust/Fear
204,cold,VBN,Disgust/Fear
205,inflame,VB,Disgust/Fear
206,take,VB,Disgust/Fear
207,read,VB,Disgust/Fear
208,said,VBD,Disgust/Fear
209,believe,VBP,Disgust/Fear
210,draw,VB,Disgust/Fear
211,love,VBD,Happy
212,love,VB,Happy
213,s.,VB,Disgust/Fear
214,bred,VBN,Disgust/Fear
215,become,VBP,Disgust/Fear
216,believed,VBN,Disgust/Fear
217,practiced,VBN,Disgust/Fear
218,hoped,VBD,Happy
219,contained,VBN,Disgust/Fear
220,written,VBN,Disgust/Fear
221,adore,VBP,Happy
222,apelles,VB,Disgust/Fear
223,saith,VBD,Disgust/Fear
224,admit,VB,Happy
225,thou,VBP,Disgust/Fear
226,learn,VB,Disgust/Fear
227,teach,VBP,Disgust/Fear
228,falling,VBG,Sad/Angry
229,reject,VB,Sad/Angry
230,omit,VBP,Disgust/Fear
231,cite,VB,Disgust/Fear
232,forebear,VBP,Disgust/Fear
233,weary,VB,Sad/Angry
234,acknowledged,VBN,Disgust/Fear
235,excuse,VB,Happy
236,study,VB,Disgust/Fear
237,talk,VBP,Disgust/Fear
238,wrapped,VBD,Disgust/Fear
239,hanging,VBG,Disgust/Fear
240,turned,VBD,Disgust/Fear
241,attributed,VBN,Disgust/Fear
242,put,VBD,Disgust/Fear
243,bring,VBP,Disgust/Fear
244,discharged,VBN,Disgust/Fear
245,fenowed,VBN,Disgust/Fear
246,springing,VBG,Disgust/Fear
247,everlasting,VBG,Disgust/Fear
248,heaven,VBN,Happy
249,sanctified,VBN,Disgust/Fear
250,endued,VBN,Disgust/Fear
251,fade,VB,Disgust/Fear
252,delighted,VBD,Happy
253,meditate,VB,Disgust/Fear
254,understand,VB,Disgust/Fear
255,understand,VBP,Disgust/Fear
256,kept,VBN,Disgust/Fear
257,hebrew,VB,Disgust/Fear
258,greek,VB,Disgust/Fear
259,latin,VB,Disgust/Fear
260,taught,VBD,Disgust/Fear
261,confess,VB,Disgust/Fear
262,turn,VB,Disgust/Fear
263,ear,VBP,Disgust/Fear
264,counted,VBD,Disgust/Fear
265,calleth,VB,Disgust/Fear
266,storm,VB,Disgust/Fear
267,called,VBN,Disgust/Fear
268,driven,VBN,Disgust/Fear
269,openeth,VBG,Disgust/Fear
270,let,VB,Disgust/Fear
271,eat,VB,Disgust/Fear
272,look,VB,Disgust/Fear
273,rolled,VBD,Disgust/Fear
274,watered,VBN,Disgust/Fear
275,mentioned,VBN,Disgust/Fear
276,sealed,VBN,Disgust/Fear
277,known,VBN,Disgust/Fear
278,lay,VBD,Disgust/Fear
279,spake,VBP,Disgust/Fear
280,ordained,VBD,Disgust/Fear
281,scattered,VBN,Disgust/Fear
282,pleased,VBD,Happy
283,stir,VB,Disgust/Fear
284,procure,VB,Disgust/Fear
285,prepared,VBD,Happy
286,lie,VB,Disgust/Fear
287,moulding,VBG,Disgust/Fear
288,dispersed,VBN,Disgust/Fear
289,sent,VBN,Disgust/Fear
290,set,VBN,Disgust/Fear
291,sounded,VBD,Disgust/Fear
292,take,VBP,Disgust/Fear
293,therefore,VB,Disgust/Fear
294,contain,VB,Disgust/Fear
295,appeal,VB,Disgust/Fear
296,needed,VBD,Disgust/Fear
297,seemed,VBD,Disgust/Fear
298,found,VBD,Disgust/Fear
299,expose,VB,Sad/Angry
300,made,VBD,Disgust/Fear
301,serve,VB,Disgust/Fear
302,bearing,VBG,Disgust/Fear
303,regarded,VBN,Disgust/Fear
304,supposed,VBN,Disgust/Fear
305,allowed,VBN,Disgust/Fear
306,pas,VB,Disgust/Fear
307,content,VB,Disgust/Fear
308,fell,VBD,Disgust/Fear
309,whereof,VBP,Disgust/Fear
310,compiled,VBN,Disgust/Fear
311,howbeit,VB,Disgust/Fear
312,went,VBD,Disgust/Fear
313,gathered,VBN,Disgust/Fear
314,used,VBN,Disgust/Fear
315,named,VBN,Disgust/Fear
316,thereof,VBD,Disgust/Fear
317,justinian,VB,Disgust/Fear
318,enjoining,VBG,Disgust/Fear
319,use,VB,Disgust/Fear
320,rendreth,VB,Disgust/Fear
321,enlightened,VBN,Happy
322,spirit,VB,Happy
323,isa,VB,Disgust/Fear
324,saint,VB,Disgust/Fear
325,stumbled,VBD,Disgust/Fear
326,noted,VBN,Disgust/Fear
327,add,VB,Disgust/Fear
328,leave,VB,Sad/Angry
329,deliver,VB,Disgust/Fear
330,suffice,VB,Disgust/Fear
331,touching,VBG,Disgust/Fear
332,convey,VB,Disgust/Fear
333,derived,VBN,Disgust/Fear
334,moved,VBD,Disgust/Fear
335,undertake,VB,Disgust/Fear
336,bound,VBN,Disgust/Fear
337,embraced,VBN,Disgust/Fear
338,understood,VBD,Disgust/Fear
339,fare,VB,Disgust/Fear
340,acquainted,VBD,Disgust/Fear
341,provide,VB,Disgust/Fear
342,hungered,VBD,Disgust/Fear
343,thirsted,VBD,Disgust/Fear
344,soul,VBN,Disgust/Fear
345,saved,VBN,Happy
346,provided,VBD,Disgust/Fear
347,speaking,VBG,Disgust/Fear
348,translated,VBN,Disgust/Fear
349,satisfied,VBN,Happy
350,show,VBP,Disgust/Fear
351,added,VBN,Disgust/Fear
352,erasmus,VB,Disgust/Fear
353,purport,VB,Disgust/Fear
354,translated,VBD,Disgust/Fear
355,excepted,VBN,Disgust/Fear
356,lived,VBD,Disgust/Fear
357,vanish,VB,Disgust/Fear
358,infinite,VB,Disgust/Fear
359,turned,VBN,Disgust/Fear
360,briefly,VB,Disgust/Fear
361,reported,VBN,Disgust/Fear
362,abridged,VBN,Disgust/Fear
363,beded,VBN,Disgust/Fear
364,alfred,VBN,Disgust/Fear
365,printed,VBN,Disgust/Fear
366,caused,VBN,Disgust/Fear
367,extant,VBN,Disgust/Fear
368,surnamed,VBD,Disgust/Fear
369,richard,VB,Disgust/Fear
370,setting,VBG,Disgust/Fear
371,saw,VBD,Disgust/Fear
372,ambrose,VB,Disgust/Fear
373,taken,VBN,Disgust/Fear
374,thought,VBN,Disgust/Fear
375,put,VB,Disgust/Fear
376,cause,VB,Disgust/Fear
377,grow,VB,Disgust/Fear
378,divulged,VBN,Disgust/Fear
379,seem,VB,Disgust/Fear
380,bear,VB,Disgust/Fear
381,allow,VB,Happy
382,deserving,VBG,Disgust/Fear
383,first,VB,Disgust/Fear
384,get,VB,Disgust/Fear
385,frozen,VBN,Disgust/Fear
386,soured,VBN,Disgust/Fear
